raw_id,pred_id,pred,sentence,rating_type,verb symmetry score,trans,trans_mod,v_tense,v_act,modal,neg,is_root,direction,sing_sub,sing_obj,conj_sub,conj_obj,rcp_phrase,sub_more_freq,ani_match,num_np,ani_sub,num_clauses
44,5,argue,USSR and USA argue with each other,continuous,3.67,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,3,1,1
45,5,argue,He argued with the scientific officer.,continuous,3.67,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,2,1,1
46,5,argue,The TV show host and Henry argue with each other,continuous,3.67,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,3,1,1
47,5,argue,I can't argue with the referee out of courtesy.,continuous,3.67,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,3,1,1
48,5,argue,Veneziano and Romano argued all night.,continuous,3.67,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,1,1
49,5,argue,I argued with my lawyer as everyone watched.,continuous,3.67,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,3,1,2
50,5,argue,"Out of all the signs, Leo and Pisces argue the most.",continuous,3.67,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,2,1,1
51,6,differ,Many creative people differ from the more code-based web developers.,continuous,3,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,2,1,1
52,6,differ,The expectations and the outcome may differ depending on the target group.,continuous,3,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,3,0,1
53,6,differ,The hypothesis differed from the outcome.,continuous,3,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,2,0,2
54,6,differ,"The calories you are going to need and the calories you will actually have differ on your way of living, age and present bodyweight.",continuous,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,7,0,3
55,6,differ,The Atkins diet may differ from the diet you are accustomed to at home. ,continuous,3,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,5,0,2
56,6,differ,HRQOL median scores and standard deviations did not differ significantly.,continuous,3,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,2,0,1
57,6,differ,Your explanation may differ from the definition.,continuous,3,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,2,0,1
58,6,differ,"Because issues and needs often differ regionally across North America, membership begins at a local level.",continuous,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,6,0,2
59,6,differ,Biofilms that form on solid phases at contaminated subsurface sites may differ significantly in form and function from those found in other environments.,continuous,3,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,5,0,2
60,6,differ,BMI and glycemic index did not differ by dietary pattern and averaged 23.7 Í—‘_Í_‘„Í_‘ï_Í—‘_Í_‘_Í_‘ïÍ_‘± 4.7 for all women combined.,continuous,3,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,6,1,2
61,7,combine,People should combine their talent with a focus on delivering results.,continuous,4.67,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,3,0,1
62,7,combine,The documents released by WikiLeaks and the recent analysis by the U.S. intelligence community combined to make it clear that the stated objectives of the U.S. are unachievable.,continuous,4.67,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,5,0,5
63,7,combine,I combine the chipotle with the mayonnaise and honey.,continuous,4.67,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,3,0,1
64,7,combine,The school combined learning and Black Eyed Peas to encourage children to be active.,continuous,4.67,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,0,1
65,7,combine,We optionally combine RTB API with our DSP white label for rapid go-to-market.,continuous,4.67,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,5,1,1
66,7,combine,Entrepreneurs combine strength and street smarts.,continuous,4.67,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2,0,1
67,7,combine,"For my blog, I am going to combine the criteria of each organization with my own knowledge.",continuous,4.67,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,6,1,1
68,7,combine,"Vegetarians must combine the ""incomplete"" proteins and carbohydrates found in grains and legumes in order to attain a healthy diet.",continuous,4.67,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,10,0,3
69,7,combine,I combined remaining hair with previous handful of hair to make a single ponytail.,continuous,4.67,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,1
70,7,combine,His works combine a visceral sense of space and motion.,continuous,4.67,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,3,0,1
71,8,compare,We compare several methods for active learning techniques with more traditional methods.,continuous,4.5,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,4,0,1
72,8,compare,The AED study will also compare targeted and universal screening approaches. ,continuous,4.5,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,4,0,2
73,8,compare,One can compare the risque content to the ''censorship'' function of the dream.,continuous,4.5,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,4,0,1
74,8,compare,Users can compare different days and months so sleep quality is quantified.,continuous,4.5,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,4,0,2
75,8,compare,"In addition, BHM and EFM application will compare measured data to the improved predicted metrics, which will enable detection of building deviations.",continuous,4.5,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,9,0,2
76,8,compare,They compare the features and price of the products.,continuous,4.5,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,4,0,1
77,8,compare,Countries can compare themselves to peers on the 25 PHC Vital Signs indicators.,continuous,4.5,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,4,1,1
78,8,compare,We compared Googlemaps and OpenStreetMaps implementations.,continuous,4.5,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,3,1,1
79,8,compare,You can also compare your beauty with your boyfriend's or girlfriend's. ,continuous,4.5,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,3,0,1
80,8,compare,He compared Python and Java.,continuous,4.5,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,3,1,1
81,9,love,Siyabonga will love it but it won't love him.,continuous,2.67,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,4,1,2
82,9,love,The students and their mentors love each other.,continuous,2.67,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,3,1,1
83,9,love,"People love the cute puppy, who never acts out.",continuous,2.67,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,3,1,2
84,9,love,How can Adam and Eve love as Christ loved?,continuous,2.67,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,3,1,2
85,9,love,How can you love him when he possibly loves someone else?,continuous,2.67,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4,1,2
86,9,love,Mothers and priests love unconditionally.,continuous,2.67,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,2,1,1
87,9,love,A man might love this world that it would break his heart.,continuous,2.67,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,4,1,2
88,9,love,Happy families and secrets love one another.,continuous,2.67,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,3,0,1
89,9,love,Then I will love my family with all my heart.,continuous,2.67,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,3,1,1
90,9,love,Brad and Jen loved each other but not completely.,continuous,2.67,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,3,1,1
91,10,drown,The drum drowns out the noises from everyday reality so the dreamer can focus exclusively on the dream journey.,continuous,3.17,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,6,0,2
92,10,drown,My hands and arms drowned but my head stayed afloat. ,continuous,3.17,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,3,0,2
93,10,drown,"In December 2010 and January 2011, Tropical Cyclone Tasha and a wet year drowned Queensland, Australia.",continuous,3.17,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,4,1,1
94,10,drown,"Sula and Marcus drown in time consuming, space bending sound.",continuous,3.17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,1,2
95,10,drown,"He drowns his old self in the bath, but doesn't go through with it out of love for his parents.",continuous,3.17,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,6,1,1
96,10,drown,Children and adults may drown in an improperly sized or adjusted PFD.,continuous,3.17,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,3,1,1
97,10,drown,"An apparently mentally ill woman drowned her daughters, a recent incident discussed in the story.",continuous,3.17,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,4,1,2
98,10,drown,A girl and someone else drowned.,continuous,3.17,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,2,1,2
99,10,drown,"Klara drowned me and I drowned her, maybe at the same time. ",continuous,3.17,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,4,1,2
100,10,drown,"Paula and the lifeguard cannot drown each other, one has to save the other.",continuous,3.17,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,5,1,2
101,11,see,"The doctor sees many patients, so wait for your turn.",continuous,3,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,3,1,1
102,11,see,Dogs and cats see in black and white.,continuous,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,2,0,1
103,11,see,"I see you as a little less gentlemanly, and considerably more cut-throat in the House.",continuous,3,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,3,1,1
104,11,see,"At that moment, Jesus and His disciples see.",continuous,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,2,1,1
105,11,see,We saw Claire after she quit the TVD spin-off show The Originals early last year.,continuous,3,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,8,1,2
106,11,see,"To their dismay, Resource Center and the landlord saw.",continuous,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,1,1
107,11,see,I could see Evie and Ashton.,continuous,3,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,3,1,1
108,11,see,Some boys and girls can see and some cannot.,continuous,3,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,3,1,2
109,11,see,"Next year, I will see entire families with their kids in tow.",continuous,3,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,4,1,1
110,11,see,My ex-wife and I saw each other periodically but I ignored her.,continuous,3,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,5,1,3
111,12,hit,"Very few Pokemon hit over 200 damage, which makes Mega and Primal Pokemon VERY difficult to take out in one shot.",continuous,1.67,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,6,1,3
112,12,hit,Taylor and Selena hit each other in the music video.,continuous,1.67,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,4,1,1
113,12,hit,"Male or female, you will hit back as hard as I can hit you.",continuous,1.67,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,4,1,2
114,12,hit,Some men hit their wives and it is pathetic.,continuous,1.67,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,3,1,2
115,12,hit,My abuser hit me and then I hit him back.,continuous,1.67,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,4,1,2
116,12,hit,The boys in fourth grade and some other boys with squirt guns hit one another.,continuous,1.67,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,3,1,1
117,12,hit,Mark hit me two or three times in the same period.,continuous,1.67,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,3,1,1
118,12,hit,The pain and sadness hit hard.,continuous,1.67,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6,0,2
119,12,hit,Hogan hit him with a big boot to the chest.,continuous,1.67,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,4,1,1
120,12,hit,Our interests hit us particularly but do not hit America.,continuous,1.67,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0,1
121,13,follow,"I followed a mare in heat, but I stayed a good distance away just in case she tried anything with me.",continuous,2.33,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,13,1,3
122,13,follow,Public opinion and scientific consensus followed.,continuous,2.33,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,0,1
123,13,follow,I will follow the shady merchant to see where he goes.,continuous,2.33,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,3,1,2
124,13,follow,Heart and mind will follow once you've found your soul.,continuous,2.33,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,5,0,2
125,13,follow,Things might follow natural laws when given the option.,continuous,2.33,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,2,0,1
126,13,follow,The criminals and the police follow each other.,continuous,2.33,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,3,1,1
127,13,follow,I'll follow her and she'll follow me back.,continuous,2.33,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,4,1,2
128,13,follow,Extremely violent upheaval and harsh words may follow. ,continuous,2.33,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,0,1
129,13,follow,Ban Ki-moon followed the other President.,continuous,2.33,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1,1
130,13,follow,The family members and teachers followed one another into the hall.,continuous,2.33,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,4,1,1
131,14,choke,You cannot choke him if you don't want to kill him. ,continuous,2.83,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,6,1,2
132,14,choke,CEOs and CFOs here would probably rather choke before praising the reduction in numbers.,continuous,2.83,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,4,1,1
133,14,choke,You choked the victim into unconsciousness and then rob them of all they are carrying.,continuous,2.83,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,5,1,2
134,14,choke,The president and his affiliates will choke once I've done my work.,continuous,2.83,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,5,0,2
135,14,choke,"I won't choke you, I'm not that long.",continuous,2.83,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,4,1,2
136,14,choke,The baby and the sister might choke if their noses and mouths are not covered. ,continuous,2.83,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,4,1,2
137,14,choke,Bonnie choked Miller and he choked her back.,continuous,2.83,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,4,1,2
138,14,choke,The DA and the man choked each other.,continuous,2.83,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,3,1,1
139,14,choke,"The squid choked with the fish, it was massacre.",continuous,2.83,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,4,0,4
140,14,choke,My mom and my boyfriend choked when I told them I was pregnant.,continuous,2.83,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,6,1,3
141,15,eat,They eat some fruit gathered from the plentiful trees within the rainforest. ,continuous,2.17,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,6,1,2
142,15,eat,The family and the new mother-in-law ate.,continuous,2.17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1
143,15,eat,One can eat a snack during the break or a rest from fun.,continuous,2.17,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,4,1,1
144,15,eat,"Some bugs and worms eat, while others do not.",continuous,2.17,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,3,0,2
145,15,eat,He probably may have eaten sand as a child.,continuous,2.17,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,3,1,1
146,15,eat,The pizza delivery man and the actress eat together often.,continuous,2.17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,2,1,1
147,15,eat,And then we'd eat the cake.,continuous,2.17,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,2,1,1
148,15,eat,The model and her friend would probably eat each other after this is all over.,continuous,2.17,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,4,1,2
149,15,eat,My mother and Mary Poppins ate plenty of carrots.,continuous,2.17,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,4,1,1
150,15,eat,My date and I ate together but he paid the bills.,continuous,2.17,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,6,1,3
151,16,copy,Live-boot will copy the entire read-only media before mounting the root filesystem. ,continuous,2,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,2,1,1
152,16,copy,Snapchat and Instagram copied each other.,continuous,2,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,3,1,1
153,16,copy,Readers should copy the characters depicted In the book.,continuous,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,5,1,2
154,16,copy,The apprentices and the masters copied one another.,continuous,2,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,3,1,1
155,16,copy,The candidate should copy the paragraph at item No. 12 of the Information Sheet in English in their own running handwriting.,continuous,2,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,3,1,1
156,16,copy,Officer Brooks and the other guy won't copy.,continuous,2,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,2,1,1
157,16,copy,The sales this year copied the sales from last year.,continuous,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,3,0,1
158,16,copy,Some ingrates and not all criminals copied.,continuous,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,2,1,2
159,16,copy,The rich fashion designer copied the poor seamstress and so the seamstress copied her back.,continuous,2,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,4,1,2
160,16,copy,"Facebook and Instagram have copied before, they'll do it again.",continuous,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,1,2
161,17,save,We potentially saved as much as $440 million. ,continuous,3.17,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1
162,17,save,The hero and the villain saved each other because it was exciting.,continuous,3.17,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,4,1,2
163,17,save,"I'll save all of those that have been identified for a separate article, because that's going to take a lot of space! ",continuous,3.17,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,12,1,3
164,17,save,The parents and children save each other time by being cooperative.,continuous,3.17,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,3,1,1
165,17,save,Superman saved Lois Lane so many times.,continuous,3.17,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,2,1,1
166,17,save,The Indians and Chinese saved for years.,continuous,3.17,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,3,1,1
167,17,save,"Dr. Tengis Gvasalia, the director, saved many lives and he feels like they saved him too.",continuous,3.17,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,7,1,3
168,17,save,The twins and the mother saved but the money ran out.,continuous,3.17,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,3,1,2
169,17,save,"He also, more than once, saved young men from regime forces attempting to marshall into mandatory military service.",continuous,3.17,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,6,1,2
170,17,save,"Jesus and Allah save, but is it enough?",continuous,3.17,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,3,1,2
171,19,rhyme,"Skype rhymes with type, at least that's what I think.",binary,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6,0,3
172,19,rhyme,My employer's name and hell rhyme.,binary,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1
173,19,rhyme,"A song called ""Stronger"" rhymed with a line about not waiting any ""longer"" and the word ""wronger"".",binary,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,3,0,2
174,19,rhyme,The line about love and the one about burgers rhyme nicely but don't make sense.,binary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,3
175,19,rhyme,Deayton rhymes with Eton but is often mispronounced.  ,binary,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2,1,1
176,19,rhyme,Line 1 and Line 2 in the Haiku poem don't need to rhyme. ,binary,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,3,0,1
177,19,rhyme,"""Sally Mae"" kinda rhymes with bullshit.  ",binary,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,1
178,19,rhyme,"Repression and depression do rhyme, so look forward to rampant price inflation.",binary,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,1
179,19,rhyme,"Krugle does rhyme with Google, but apart from that why should Krugle be more popular?  ",binary,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,3,1,3
180,19,rhyme,"This and the next line, their hearts as cold as ice, don't rhyme.",binary,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,0,1
181,20,tie,Mary Ann Gomes tied with Soumya and Tania on 7.5 points.,binary,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,3,1,1
182,20,tie,Q3 winner Dustin Evans and his big rival tied.,binary,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,1,1
183,20,tie,But he could only tie with Dawn Creten. ,binary,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,2,1,1
184,20,tie,Ste Atkinson and Andrew were almost tied.,binary,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,1,1
185,20,tie,Email lists really tie with customers.,binary,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1
186,20,tie,"You and another player are tied, so advance to the next round.",binary,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,1,1
187,20,tie,"Canada tied with Germany, meaning Canada was good enough.",binary,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,2
188,20,tie,Slytherin and Hufflepuff were tied but Hufflepuff won next time.,binary,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,1,2
