pred_id,predicate,sentence,sentence_rev,verb symmetry score,is_pred_symmetry,votes for 1,votes for 2,votes for 3,votes for 4,votes for 5,sentence average score,bert prediction,bert tuned prediction,ft prediction,w2v prediction,glv prediction,hybrid prediction
4,meet,A very large organisation met me for some business.,I met a very large organisation for some business.,4.67,1,1,1,2,3,0,3,4.01473093,4.485288,2.852136719,2.427493095,2.356779575,4.2219534
4,meet,The girls and the supervisor meet on the site of the future science wing.,The supervisor and the girls meet on the site of the future science wing.,4.67,1,6,1,0,0,0,1.142857143,2.272852659,0.7310972,0.905912346,2.306601048,2.35635519,1.0603795
4,meet,She met her mother but her mother failed to recognize her.,Her mother met her but failed to recognize her.,4.67,1,4,1,0,1,1,2.142857143,2.953047276,3.6382465,2.544189555,2.15743804,2.081630945,2.9740672
4,meet,"Here, ethical and global business challenges meet each other.","Here, global and ethical business challenges meet each other.",4.67,1,7,0,0,0,0,1,1.826387644,0.8226639,1.168122558,2.12575531,2.205687761,0.9364057
5,argue,Marsilius of Padua and Lorenzo Valla argued against the priest.,The priest argued against Marsilius of Padua and Lorenzo Valla.,3.67,1,1,0,0,2,4,4.142857143,0.072333336,0.85435927,1.109233282,2.131892443,1.985574961,1.5733953
5,argue,Dad and Mom argued and the next day sucked.,Mom and Dad argued and the next day sucked.,3.67,1,7,0,0,0,0,1,0.578507423,0.22489838,1.109233282,1.362258434,1.18672657,0.9702015
5,argue,"The king argued with the queen, scaring the royal advisors.","The queen argued with the king, scaring the royal advisors.",3.67,1,3,2,0,1,1,2.285714286,2.930503368,3.3542366,2.383735318,2.164406061,2.082818031,3.0750575
5,argue,USSR and USA argue with each other,USA and USSR argue with each other,3.67,1,7,0,0,0,0,1,1.232300282,0.20856187,0.985784249,1.682729006,1.752006292,1.0065893
5,argue,He argued with the scientific officer.,The scientific officer argued with him.,3.67,1,1,3,1,1,1,2.714285714,2.399394989,3.275939,3.021738053,2.264679909,2.174312115,3.1737385
5,argue,The TV show host and Henry argue with each other,Henry and the TV show host argue with each other,3.67,1,7,0,0,0,0,1,0.868334293,0.27846596,0.723653108,2.033596039,2.108926535,0.9960501
5,argue,I can't argue with the referee out of courtesy.,The referee can't argue with me out of courtesy.,3.67,1,0,0,0,4,3,4.428571429,4.230003357,4.375195,3.179016163,2.480088711,2.356760502,3.5061188
5,argue,Veneziano and Romano argued all night.,Romano and Veneziano argued all night.,3.67,1,7,0,0,0,0,1,1.927525997,0.4874963,0.843147524,1.794917941,1.818861723,1.0412089
5,argue,I argued with my lawyer as everyone watched.,My lawyer argued with me as everyone watched.,3.67,1,0,3,0,1,3,3.571428571,3.878249168,3.57609,3.021738053,2.269793987,2.066231728,3.2033477
5,argue,"Out of all the signs, Leo and Pisces argue the most.","Out of all the signs, Pisces and Leo argue the most.",3.67,1,7,0,0,0,0,1,2.869950056,0.7668487,0.805040917,2.363124371,2.550755262,1.291907
6,differ,Many creative people differ from the more code-based web developers.,The more code-based web developers differ from many creative people.,3,1,5,1,1,0,0,1.428571429,1.90583086,2.7325807,3.626090654,1.978625774,1.983011961,1.5879977
6,differ,The expectations and the outcome may differ depending on the target group.,The outcome and the expectations may differ depending on the target group.,3,1,6,0,0,0,1,1.571428571,0.629964828,1.4014183,1.619734222,1.988644242,2.007812023,1.2264802
6,differ,The hypothesis differed from the outcome.,The outcome differed from the hypothesis.,3,1,6,1,0,0,0,1.142857143,2.044710875,2.085175,3.311707127,2.363446712,2.409473419,0.984497
6,differ,"The calories you are going to need and the calories you will actually have differ on your way of living, age and present bodyweight.","The calories you will actually have and the calories you are going to need differ on your way of living, age and present bodyweight.",3,1,7,0,0,0,0,1,1.06432724,1.7506206,1.444213826,2.328815937,2.308926105,1.3486751
6,differ,The Atkins diet may differ from the diet you are accustomed to at home. ,The diet you are accustomed to at home may differ from the Atkins diet.,3,1,7,0,0,0,0,1,0.264780045,2.9643354,3.893368245,2.451162338,2.283441305,1.5750244
6,differ,HRQOL median scores and standard deviations did not differ significantly.,HRQOL standard deviations and median scores did not differ significantly.,3,1,5,1,1,0,0,1.428571429,1.08438015,1.4396944,1.677069884,1.780799389,1.616159558,1.1729635
6,differ,Your explanation may differ from the definition.,Your definition may differ from the explanation.,3,1,3,2,0,1,1,2.285714286,3.277040005,3.6181905,3.893368245,2.312775373,2.162416458,1.6075325
6,differ,"Because issues and needs often differ regionally across North America, membership begins at a local level.","Because issues and needs often differ regionally across North America, membership begins at a local level.",3,1,7,0,0,0,0,1,1.237055302,2.1514611,1.444213826,2.186247587,2.152704954,1.4088328
6,differ,Biofilms that form on solid phases at contaminated subsurface sites may differ significantly in form and function from those found in other environments.,Biofilms found in other environments may differ significantly in form and function from those that form on solid phases at contaminated subsurface sites.,3,1,4,1,0,1,1,2.142857143,1.538115025,2.6160488,3.720470353,2.335566998,2.26190877,2.3849292
6,differ,BMI and glycemic index did not differ by dietary pattern and averaged 23.7 for all women combined.,Glycemic index and BMI did not differ by dietary pattern and averaged 23.7 for all women combined.,3,1,7,0,0,0,0,1,0.989048004,1.3933434,1.636499536,1.791887522,1.633244038,1.2486575
7,combine,People should combine their talent with a focus on delivering results.,People should combine a focus on delivering results with their talent. ,4.67,1,6,0,0,0,1,1.571428571,4.139759541,3.4476163,2.691888866,2.390968561,2.494046211,1.5686516
7,combine,The documents released by WikiLeaks and the recent analysis by the U.S. intelligence community combined to make it clear that the stated objectives of the U.S. are unachievable.,I combined the recent analysis by the U.S. intelligence community and documents released by WikiLeaks to make it clear that the stated objectives of the U.S. are unachievable.,4.67,1,2,0,2,0,3,3.285714286,2.588856697,1.2460984,0.955737568,2.236971617,2.289844513,1.8846463
7,combine,I combine the chipotle with the mayonnaise and honey.,I combine the mayonnaise and honey with the chipotle.,4.67,1,6,0,0,1,0,1.428571429,-1.16923666,2.4354696,2.781752991,2.418956757,2.428867579,1.1707366
7,combine,The school combined learning and Black Eyed Peas to encourage children to be active.,The school combined Black Eyed Peas and learning to encourage children to be active.,4.67,1,6,1,0,0,0,1.142857143,3.732539892,1.6281642,1.247575526,1.861754656,1.896159649,1.1877497
7,combine,We optionally combine RTB API with our DSP white label for rapid go-to-market.,We optionally combine our DSP white label with RTB API for rapid go-to-market.,4.67,1,7,0,0,0,0,1,3.709747314,2.9290586,2.309011282,2.355999947,2.60234189,1.4888601
7,combine,Entrepreneurs combine strength and street smarts.,Entrepreneurs combine street smarts and strength.,4.67,1,7,0,0,0,0,1,1.837725878,1.0172052,2.110239503,1.905580759,1.86226213,1.093846
7,combine,"For my blog, I am going to combine the criteria of each organization with my own knowledge.","For my blog, I am going to combine my own knowledge with the criteria of each organization.",4.67,1,6,0,0,1,0,1.428571429,2.516213894,2.5011473,2.58268068,2.468718767,2.423378468,1.6364294
7,combine,"Vegetarians must combine the ""incomplete"" proteins and carbohydrates found in grains and legumes in order to attain a healthy diet.","Vegetarians must combine the carbohydrates and ""incomplete"" proteins found in grains and legumes in order to attain a healthy diet.",4.67,1,6,1,0,0,0,1.142857143,3.192043543,1.7294639,2.08363063,2.149088144,2.038383484,1.1052449
7,combine,I combined remaining hair with previous handful of hair to make a single ponytail.,I combined previous handful of hair with remaining hair to make a single ponytail.,4.67,1,7,0,0,0,0,1,1.105535984,2.5555007,2.586479611,2.485320807,2.303649426,1.277046
7,combine,His works combine a visceral sense of space and motion.,His works combine motion and a visceral sense of space.,4.67,1,3,0,1,2,1,2.714285714,0.609425545,2.9904654,2.429840215,2.266630173,2.269082069,1.1573282
8,compare,We compare several methods for active learning techniques with more traditional methods.,We compare more traditional methods with several methods for active learning techniques.,4.5,1,4,1,1,0,1,2,1.691950798,2.7215133,2.232589643,2.197175264,2.16785264,1.4013338
8,compare,The AED study will also compare targeted and universal screening approaches. ,The AED study will also compare universal screening and targeted approaches. ,4.5,1,5,0,2,0,0,1.571428571,1.925065041,2.8296227,2.273361414,1.944296956,2.010115862,1.867917
8,compare,One can compare the risque content to the ''censorship'' function of the dream.,One can compare the ''censorship'' function of the dream to the risque content.,4.5,1,2,3,1,0,1,2.285714286,2.84881258,3.1375668,2.638382345,2.043405533,2.243630886,1.6262187
8,compare,Users can compare different days and months so sleep quality is quantified.,Users can compare different months and days so sleep quality is quantified.,4.5,1,6,1,0,0,0,1.142857143,3.104360819,2.4939866,2.546639474,2.208748102,2.147508621,1.2197397
8,compare,"In addition, BHM and EFM application will compare measured data to the improved predicted metrics, which will enable detection of building deviations.","In addition, BHM and EFM application will compare the improved predicted metrics, which will enable detection of building deviations, to measured data.",4.5,1,2,2,1,1,1,2.571428571,1.960144043,3.111843,1.010340851,2.082740784,2.038077354,1.1971748
8,compare,They compare the features and price of the products.,They compare the price and features of the products.,4.5,1,7,0,0,0,0,1,2.39729166,2.5102215,2.434185905,2.029622316,2.016312122,1.3232905
8,compare,Countries can compare themselves to peers on the 25 PHC Vital Signs indicators.,Countries can compare peers to themselves on the 25 PHC Vital Signs indicators.,4.5,1,5,0,1,0,1,1.857142857,1.608720541,2.2493267,2.192892276,2.074245453,2.324518681,1.5099355
8,compare,We compared Googlemaps and OpenStreetMaps implementations.,We compared OpenStreetMaps and Googlemaps implementations.,4.5,1,7,0,0,0,0,1,1.735542297,2.193492,2.493629505,1.871323347,2.199015617,1.2376306
8,compare,You can also compare your beauty with your boyfriend's or girlfriend's. ,You can also compare your boyfriend's or girlfriend's beauty to yours.,4.5,1,6,0,1,0,0,1.285714286,1.842219353,3.1918414,2.790533282,2.44339323,2.339035988,1.3673425
8,compare,He compared Python and Java.,He compared Java and Python.,4.5,1,7,0,0,0,0,1,1.257940292,2.521876,2.647425408,1.259423375,1.540225148,1.3455737
9,rhyme,"Skype rhymes with type, at least that's what I think.","Type rhymes with Skype, at least that's what I think.",2.67,1,7,0,0,0,0,1,1.807830811,2.6209402,3.543877486,2.861152411,3.050087929,1.4995862
9,rhyme,My employer's name and hell rhyme.,Hell and my employer's name rhyme.,2.67,1,5,1,1,0,0,1.428571429,-0.439399719,2.1799245,1.182666232,2.136697292,2.377135754,1.2225263
9,rhyme,"A song called ""Stronger"" rhymed with a line about not waiting any ""longer"" and the word ""wronger"".","A line about not waiting any ""longer"" and the word ""wronger"" rhymed with a song called ""Stronger"".",2.67,1,4,1,0,1,1,2.142857143,2.883979082,2.6039171,3.100863944,2.015727758,2.073831558,1.513659
9,rhyme,The line about love and the one about burgers rhyme nicely but don't make sense.,The line about burgers and the one about love rhyme nicely but don't make sense.,2.67,1,7,0,0,0,0,1,0.937510252,1.8843875,1.540329986,2.285290241,2.339604378,1.3228089
9,rhyme,Deayton rhymes with Eton but is often mispronounced.  ,Eton rhymes with Deayton but is often mispronounced.  ,2.67,1,4,1,0,1,1,2.142857143,0.4866786,3.0624123,3.23492184,2.36551404,2.55364275,1.353963
9,rhyme,Line 1 and Line 2 in the Haiku poem don't need to rhyme. ,Line 2 and Line 1 in the Haiku poem don't need to rhyme. ,2.67,1,7,0,0,0,0,1,2.462996483,2.0914583,1.432216554,1.969142675,2.089171648,1.3733555
9,rhyme,"""Sally Mae"" kinda rhymes with bullshit.  ","Bullshit kinda rhymes with ""Sally Mae"".",2.67,1,5,1,0,0,1,1.714285714,2.516347408,2.9076157,3.651990919,2.668565989,2.865458965,1.5138159
9,rhyme,"Repression and depression do rhyme, so look forward to rampant price inflation.","Depression and repression do rhyme, so look forward to rampant price inflation.",2.67,1,7,0,0,0,0,1,2.45701313,2.5810332,1.599735311,2.099110365,2.012630463,1.1976917
9,rhyme,"Krugle does rhyme with Google, but apart from that why should Krugle be more popular?  ","Google does rhyme with Krugle, but apart from that why should Krugle be more popular?  ",2.67,1,5,2,0,0,0,1.285714286,0.930989027,2.5832138,3.619499258,2.407822847,2.507521629,1.4072951
9,rhyme,"This and the next line, their hearts as cold as ice, don't rhyme.","The next line, their hearts as cold as ice, and this don't rhyme.",2.67,1,5,1,0,1,0,1.571428571,1.880111456,2.083119,0.591189557,2.070318937,2.044823408,1.3663697
10,tie,Mary Ann Gomes tied with Soumya and Tania on 7.5 points.,Soumya and Tania tied with Mary Ann Gomes on 7.5 points.,3.17,1,6,0,0,0,1,1.571428571,0.142386436,2.0075812,2.374346095,2.171873569,2.291055918,1.3586487
10,tie,Q3 winner Dustin Evans and his big rival tied.,His big rival and Q3 winner Dustin Evans tied.,3.17,1,5,1,0,1,0,1.571428571,2.411828279,1.2475278,0.833748986,2.121657848,2.094717264,1.1106057
10,tie,But he could only tie with Dawn Creten. ,But Dawn Creten could only tie with him.,3.17,1,4,0,0,2,1,2.428571429,2.577963352,4.0116367,1.00313932,2.277486324,2.611852169,2.2062306
10,tie,Ste Atkinson and Andrew were almost tied.,Andrew and Ste Atkinson were almost tied.,3.17,1,7,0,0,0,0,1,0.600474834,0.90304464,0.834516198,2.071069002,2.013670921,1.0706966
10,tie,Email lists really tie with customers.,Customers really tie with email lists.,3.17,1,3,1,2,0,1,2.285714286,0.728917122,1.0403202,2.562377998,2.964866161,3.097919703,1.5338764
10,tie,"You and another player are tied, so advance to the next round.","Another player and you are tied, so advance to the next round.",3.17,1,7,0,0,0,0,1,2.899927855,2.0053408,0.906447928,1.863053322,1.758337498,1.0745254
10,tie,"Canada tied with Germany, meaning Canada was good enough.","Germany tied with Canada, meaning Canada was good enough.",3.17,1,3,2,0,2,0,2.142857143,1.333675146,1.8087847,2.222029666,1.738499522,1.690305948,2.0001736
10,tie,Slytherin and Hufflepuff were tied but Hufflepuff won next time.,Hufflepuff and Slytherin were tied but Hufflepuff won next time.,3.17,1,7,0,0,0,0,1,0.355543137,1.3602931,0.887357683,2.290563822,2.497429848,1.0759703
10,tie,Kuperman will tie with Farrell for third if Mr. Kuperman wins the last round.,Farrell will tie with Kuperman for third if Mr. Kuperman wins the last round.,3.17,1,6,0,0,1,0,1.428571429,0.190740585,3.1593404,2.508769301,2.31480217,2.279278755,2.2588549
10,tie,"Ferguson and Lee were tied in round 72, forcing a playoff.","Lee and Ferguson were tied in round 72, forcing a playoff.",3.17,1,7,0,0,0,0,1,1.054573059,0.9235472,0.547116299,1.918178439,1.859775305,1.0698731
11,collaborate,Much later he collaborated with his son Michael on the English translation of a text on food production.,Much later his son Michael collaborated with him on the English translation of a text on food production.,3,1,2,0,2,3,0,2.857142857,2.914004564,3.84391,2.189518046,2.263233185,2.337304115,3.2479706
11,collaborate,Professionals and amateurs collaborated in the making of music.,Amateurs and professionals collaborated in the making of music.,3,1,6,1,0,0,0,1.142857143,2.968814611,0.53838915,1.419874422,2.370482683,2.224916935,1.2443578
11,collaborate,He collaborated with the Nazis during World War II.,The Nazis collaborated with him during World War II.,3,1,4,1,1,0,1,2,3.950405836,3.9103472,3.049976263,2.127818108,1.94995296,2.863834
11,collaborate,Patterson and Bill Clinton collaborated on a novel.,Bill Clinton and Patterson collaborated on a novel.,3,1,7,0,0,0,0,1,1.315520287,0.8486432,1.419874422,1.994877219,2.240605593,1.1139482
11,collaborate,"I'd rather collaborate with a tarantula, because I'm vermin right now.","A tarantula would rather collaborate with me, because I'm vermin right now.",3,1,0,1,1,0,5,4.285714286,2.962550879,4.1070595,2.247648597,2.366871357,2.138400078,3.125097
11,collaborate,Rock 'n' roll and surf collaborate to introduce this popular board short inspired by the Red Hot Chili Peppers (RHCP).,Surf and rock 'n' roll collaborate to introduce this popular board short inspired by the Red Hot Chili Peppers (RHCP).,3,1,6,0,1,0,0,1.285714286,2.670330048,1.4080545,0.82432256,2.021977186,2.234447956,1.4533983
11,collaborate,"He collaborated with other authors, jumpstarting his career as a dramatist.","Other authors collaborated with him, jumpstarting his career as a dramatist.",3,1,3,2,1,0,1,2.142857143,2.985218048,3.7886047,2.223145713,2.353524685,2.139749527,2.6486175
11,collaborate,The writer and applicant can certainly collaborate on the letter if need be.,The applicant and writer can certainly collaborate on the letter if need be.,3,1,7,0,0,0,0,1,2.118002892,0.76915663,1.513673152,1.979501009,1.97078228,1.0739381
11,collaborate,Although Lloyd Webber collaborated with comedian and author Ben Elton.,Ben Elton collaborated with comedian and author Although Lloyd Webber.,3,1,2,1,1,2,1,2.857142857,3.019473076,3.3259404,2.785069909,2.052111626,2.120940208,2.348176
11,collaborate,"My ex and I could collaborate, but he is such an asshole.","Me and my ex could collaborate, but he is such an asshole.",3,1,7,0,0,0,0,1,1.252681255,0.9950063,1.604631453,2.395565271,2.32548213,1.0962892
12,communicate,He couldn't communicate with her once she disabled her translator.,She couldn't communicate with him once she disabled her translator.,1.67,1,1,4,0,1,1,2.571428571,3.457724094,4.3118377,3.302452521,2.086236954,2.047855854,3.4853098
12,communicate,Helen and I have not communicated since our divorce.,Me and Helen have not communicated since our divorce.,1.67,1,7,0,0,0,0,1,0.955234051,0.83200264,1.206438266,1.920671701,1.826137543,1.0331521
12,communicate,Gabe communicates with the small life through magic.,The small life communicates with Gabe through magic.,1.67,1,2,1,0,1,3,3.285714286,1.220919132,4.053822,2.995278114,2.531849861,2.624032497,2.342453
12,communicate,Alexander and his base communicated only by the narrow line of the Hellespont.,Alexander's base and him communicated only by the narrow line of the Hellespont.,1.67,1,6,1,0,0,0,1.142857143,3.015967607,1.4742285,2.706358178,2.093515873,2.123965979,1.6306213
12,communicate,These cavities communicate with the exterior through the gonad ducts.,The exterior communicates with these cavities through the gonad ducts.,1.67,1,4,0,1,1,1,2.285714286,2.237261772,2.3476076,3.105659464,2.332591534,2.313326836,2.2298589
12,communicate,Rarely do the admissions officer and the parent not communicate.,Rarely do the parent and the admissions officer not communicate.,1.67,1,7,0,0,0,0,1,2.468165398,1.5395728,1.206438266,2.103620052,2.037008762,1.1752002
12,communicate,I am not communicating with a stranger.,A stranger is not communicating with me.,1.67,1,2,2,1,1,1,2.571428571,4.298392773,4.3682,2.975563935,2.400888443,2.197713614,3.3635707
12,communicate,"Inhabitants and the outer world communicate by means of ""sea messages.""","The outer world and inhabitants communicate by means of ""sea messages.""",1.67,1,7,0,0,0,0,1,-0.87530899,0.5791958,0.86589269,2.357110262,2.242285252,1.17006
12,communicate,The Oise and the canal of St Quentin communicate with Paris along the canal.,The canal of St Quentin and the Oise communicate with Paris along the canal.,1.67,1,5,1,0,0,1,1.714285714,3.330383301,1.5895977,3.248853706,2.146292925,2.227688551,1.4974272
12,communicate,The deaf student and teacher communicated silently.,The teacher and deaf student communicated silently.,1.67,1,7,0,0,0,0,1,0.365930557,0.5876677,3.033246764,1.956738591,1.921850085,1.0763787
13,chat,I was chatting to him the other day about his wedding.,He was chatting to me the other day about his wedding.,2.33,1,3,3,0,0,1,2,1.219758987,3.3913846,2.921668215,2.480151653,2.313985825,2.113952
13,chat,The women and men were chatting but one woman did not want to participate.,The men and women were chatting but one woman did not want to participate.,2.33,1,7,0,0,0,0,1,3.327261686,0.55850774,0.832339435,2.078857422,2.092018366,1.417344
13,chat,Effie chatted with the Deans about her prospective admission.,The Deans chatted with Effie about her prospective admission.,2.33,1,4,2,1,0,0,1.571428571,1.717851162,2.6067016,3.174043041,2.283557177,2.340134621,1.8963778
13,chat,Friends and enemies chat for awhile before the inevitable spat.,Enemies and friends chat for awhile before the inevitable spat.,2.33,1,7,0,0,0,0,1,0.741584301,0.33193696,1.883034929,2.152493477,2.091595888,1.4083471
13,chat,Prospective volunteers can chat with representatives of international volunteer organizations.,Representatives of international volunteer organizations can chat with prospective volunteers.,2.33,1,4,1,1,1,0,1.857142857,-0.144796848,2.2700512,2.67346145,2.244465828,2.323925495,1.7845203
13,chat,Roger and the crew chatted with each other.,The crew and Roger chatted with each other.,2.33,1,6,1,0,0,0,1.142857143,0.751698494,0.20851544,1.177532007,1.875195861,1.849378347,1.3905765
